Start Time:  04-08-2025 15:54:11          Time Completed:  04-08-2025 16:48:22      Elapsed Time:  00:54:10
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\F1.txt
Plot File:     C:\IDEASVSM\LS_QC\F1.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\F1.dat

***DATA***

Field(G)	 Moment(emu)	
 19000.3 	 0.0358348 	
 18000 	 0.0358754 	
 17000 	 0.0358622 	
 16000 	 0.0358521 	
 15000 	 0.0357634 	
 14000 	 0.0358251 	
 13000 	 0.035757 	
 12001.2 	 0.0357226 	
 11000 	 0.0356605 	
 10000 	 0.0355632 	
 9000 	 0.035395 	
 8000 	 0.0353078 	
 7000 	 0.0352009 	
 5999.98 	 0.0350126 	
 4999.99 	 0.034808 	
 4000.01 	 0.0343463 	
 3000.01 	 0.0336729 	
 1999.99 	 0.0324728 	
 999.993 	 0.0292772 	
 950.001 	 0.0289583 	
 900.002 	 0.0286026 	
 850.003 	 0.0282115 	
 800.002 	 0.0277797 	
 749.994 	 0.0273094 	
 700 	 0.0268068 	
 650.002 	 0.0261906 	
 600.006 	 0.0254995 	
 550.003 	 0.0247242 	
 499.994 	 0.0238572 	
 449.991 	 0.0228499 	
 399.997 	 0.0216679 	
 349.988 	 0.020283 	
 299.999 	 0.0187613 	
 249.992 	 0.0169526 	
 199.998 	 0.0148659 	
 190.007 	 0.0143734 	
 180.006 	 0.013912 	
 170.001 	 0.01343 	
 159.992 	 0.0129333 	
 150.004 	 0.0124173 	
 140.002 	 0.0117531 	
 130.009 	 0.0112509 	
 120.009 	 0.0106906 	
 109.996 	 0.0101424 	
 99.9919 	 0.00955186 	
 89.9963 	 0.00878212 	
 79.9984 	 0.00826476 	
 70.0002 	 0.00757987 	
 60.0051 	 0.00700006 	
 49.9947 	 0.00637296 	
 39.9974 	 0.00571945 	
 29.9991 	 0.00504721 	
 19.9935 	 0.00435685 	
 18.004 	 0.00410811 	
 15.9981 	 0.0039563 	
 13.9969 	 0.00380696 	
 12.0059 	 0.00365625 	
 9.99081 	 0.00350619 	
 7.99489 	 0.00335384 	
 6.00671 	 0.00319524 	
 4.0005 	 0.00302406 	
 2.0009 	 0.00282053 	
 0.010038 	 0.00248908 	
-2.00219 	 0.00203627 	
-3.99853 	 0.00160623 	
-6.00701 	 0.00116442 	
-8.00664 	 0.000807718 	
-9.99297 	 0.000504641 	
-11.9989 	-0.000320736 	
-13.9988 	-0.000620023 	
-16.0056 	-0.000767947 	
-17.9964 	-0.00091693 	
-20.0015 	-0.00107448 	
-29.9945 	-0.00164356 	
-40.0054 	-0.00236548 	
-50.0023 	-0.00296283 	
-59.9992 	-0.00355577 	
-69.9996 	-0.00425182 	
-79.9946 	-0.00506771 	
-89.9987 	-0.00562702 	
-100.006 	-0.00619869 	
-110.012 	-0.00677524 	
-120.005 	-0.0073674 	
-130 	-0.00796966 	
-140 	-0.00855548 	
-149.996 	-0.00911842 	
-160.001 	-0.00969824 	
-170.004 	-0.010273 	
-180.007 	-0.0108497 	
-190.01 	-0.0114341 	
-199.999 	-0.0119746 	
-249.999 	-0.014436 	
-300.004 	-0.0166109 	
-350.002 	-0.018405 	
-400.004 	-0.0199353 	
-449.994 	-0.0214092 	
-499.998 	-0.0227436 	
-549.999 	-0.023713 	
-600.004 	-0.0245219 	
-650.009 	-0.0252586 	
-699.999 	-0.0259145 	
-749.996 	-0.0264985 	
-800.011 	-0.0270157 	
-850.008 	-0.0274908 	
-900.006 	-0.0279347 	
-950.001 	-0.0283188 	
-999.999 	-0.0286399 	
-2000.01 	-0.0319021 	
-3000.01 	-0.0331416 	
-4000.01 	-0.0338506 	
-5000.01 	-0.0343021 	
-6000.02 	-0.0346678 	
-7000.03 	-0.0348703 	
-7999.98 	-0.0349868 	
-9000 	-0.0351408 	
-9999.99 	-0.0352518 	
-11000 	-0.0353449 	
-12000 	-0.0354123 	
-13000 	-0.0354642 	
-14000 	-0.0355522 	
-15000 	-0.0355985 	
-16000 	-0.0356589 	
-17000 	-0.0356837 	
-18000 	-0.0357573 	
-19000 	-0.0358579 	
-18000 	-0.0358402 	
-17000 	-0.03581 	
-16000 	-0.0357839 	
-15000 	-0.0357643 	
