Start Time:  04-08-2025 17:47:49          Time Completed:  04-08-2025 18:38:40      Elapsed Time:  00:50:50
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\F3.txt
Plot File:     C:\IDEASVSM\LS_QC\F3.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\F3.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.0137217 	
 18000 	 0.0138023 	
 17000 	 0.0138574 	
 16000 	 0.0139128 	
 15000 	 0.0139493 	
 14000 	 0.0139783 	
 13000 	 0.0140053 	
 12000 	 0.0140217 	
 10999.9 	 0.0140314 	
 9999.82 	 0.0140479 	
 8999.94 	 0.0140604 	
 8000.01 	 0.014068 	
 6999.99 	 0.014054 	
 5999.99 	 0.014034 	
 4999.99 	 0.0140006 	
 4000 	 0.0139144 	
 3000.03 	 0.0137148 	
 2000 	 0.0132827 	
 1000 	 0.0119209 	
 949.996 	 0.0117734 	
 899.994 	 0.0115925 	
 850.008 	 0.0113919 	
 799.981 	 0.011161 	
 749.994 	 0.0109021 	
 699.99 	 0.0105935 	
 649.999 	 0.0102452 	
 600.009 	 0.00984236 	
 549.993 	 0.00937981 	
 499.996 	 0.00886064 	
 449.99 	 0.00828218 	
 399.992 	 0.00764046 	
 350.002 	 0.00693466 	
 299.996 	 0.00618942 	
 250 	 0.00538884 	
 200.004 	 0.00453929 	
 189.992 	 0.00436176 	
 179.999 	 0.00416359 	
 169.998 	 0.0039942 	
 159.997 	 0.00381487 	
 150.002 	 0.00363193 	
 139.999 	 0.00344844 	
 130.004 	 0.00326177 	
 120.005 	 0.00307681 	
 109.999 	 0.00284173 	
 99.9996 	 0.00267833 	
 90.0064 	 0.0025023 	
 79.9898 	 0.00231996 	
 69.9891 	 0.00213771 	
 60.0009 	 0.0019555 	
 49.9988 	 0.00177592 	
 39.9915 	 0.00159851 	
 30.0069 	 0.00142233 	
 20.0085 	 0.00124662 	
 18.0002 	 0.0012029 	
 15.9953 	 0.0011626 	
 13.9986 	 0.00112294 	
 12.0078 	 0.00108246 	
 10.0063 	 0.00104075 	
 7.99632 	 0.000996383 	
 5.98832 	 0.000944182 	
 4.00342 	 0.000876183 	
 1.994 	 0.000758986 	
 0.00360308 	 0.000220345 	
-1.99563 	-0.000689054 	
-4.00001 	-0.000830847 	
-6.00674 	-0.000901032 	
-7.99929 	-0.000950376 	
-9.9985 	-0.000989987 	
-11.9987 	-0.00102605 	
-14.0003 	-0.0010591 	
-15.9998 	-0.00109041 	
-17.9914 	-0.00112001 	
-20.0061 	-0.00114994 	
-30.0117 	-0.00129096 	
-40.0098 	-0.00143191 	
-50.0018 	-0.00157531 	
-59.9964 	-0.00172183 	
-70.0068 	-0.00187133 	
-80.0147 	-0.00202409 	
-90.004 	-0.00217892 	
-100.013 	-0.00233651 	
-110.002 	-0.00249692 	
-120.007 	-0.00265922 	
-130.002 	-0.00282342 	
-139.998 	-0.00299023 	
-149.999 	-0.00315837 	
-159.999 	-0.00334256 	
-169.998 	-0.00350289 	
-180.005 	-0.00367198 	
-190.006 	-0.003842 	
-200 	-0.0040135 	
-249.999 	-0.00488404 	
-300.003 	-0.00570131 	
-350.01 	-0.00649747 	
-400.003 	-0.00724029 	
-449.997 	-0.00794159 	
-499.999 	-0.00858971 	
-550.004 	-0.00917622 	
-599.998 	-0.00970546 	
-649.996 	-0.0101753 	
-700.004 	-0.0105708 	
-750 	-0.0109223 	
-800 	-0.0112055 	
-850.01 	-0.0114538 	
-899.996 	-0.0116629 	
-950.002 	-0.0118465 	
-999.994 	-0.0120054 	
-2000 	-0.0134046 	
-3000 	-0.0138501 	
-4000.01 	-0.014054 	
-5000.02 	-0.014157 	
-5999.99 	-0.0141961 	
-7000.01 	-0.0142084 	
-8000.01 	-0.0142086 	
-9000.02 	-0.0141956 	
-9999.99 	-0.0142111 	
-11000 	-0.0141835 	
-12000 	-0.014153 	
-13000 	-0.0141114 	
-14000 	-0.014081 	
-15000 	-0.0140579 	
-16000 	-0.0140031 	
-17000 	-0.0139225 	
-18000 	-0.0139048 	
-19000 	-0.0138344 	
-18000 	-0.0139142 	
-17000 	-0.0139426 	
-16000 	-0.0140019 	
-15000 	-0.0140513 	
-14000 	-0.0141002 	
-13000 	-0.0141173 	
-12000 	-0.014154 	
-11000 	-0.0141853 	
-9999.99 	-0.0142361 	
-8999.98 	-0.0142409 	
-8000 	-0.014237 	
-6999.99 	-0.0142334 	
-5999.99 	-0.0142177 	
-5000 	-0.0141789 	
-3999.99 	-0.0140867 	
-2999.98 	-0.0138864 	
-1999.99 	-0.0134579 	
-999.989 	-0.0120901 	
-949.997 	-0.0119148 	
-900 	-0.0117391 	
-849.998 	-0.0115424 	
-800.007 	-0.0113094 	
-749.993 	-0.0110456 	
-700.002 	-0.0107412 	
-649.994 	-0.0103823 	
-599.994 	-0.00996573 	
-549.999 	-0.00949767 	
-499.994 	-0.00897528 	
-450 	-0.0083905 	
-399.991 	-0.00775285 	
-349.993 	-0.00704916 	
-299.987 	-0.00629048 	
-249.999 	-0.00547234 	
-200.004 	-0.00460454 	
-189.992 	-0.00441662 	
-179.991 	-0.00420242 	
-169.992 	-0.00403612 	
-159.999 	-0.00385803 	
-149.993 	-0.00367538 	
-140.009 	-0.00349071 	
-129.999 	-0.00325122 	
-120.002 	-0.00309046 	
-110.009 	-0.00291469 	
-99.9938 	-0.00273159 	
-90.0059 	-0.00254545 	
-80.0013 	-0.00235712 	
-69.9947 	-0.00217025 	
-60.0035 	-0.001986 	
-49.9985 	-0.00180249 	
