Start Time:  04-08-2025 11:35:07          Time Completed:  04-08-2025 12:27:05      Elapsed Time:  00:51:57
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\C2.txt
Plot File:     C:\IDEASVSM\LS_QC\C2.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\C2.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.034461 	
 18000 	 0.0344689 	
 17000 	 0.0344925 	
 16000 	 0.0345871 	
 14999.8 	 0.0346119 	
 14000 	 0.0346487 	
 13000 	 0.0346549 	
 12000 	 0.0346402 	
 11000 	 0.0346119 	
 9999.99 	 0.0345839 	
 9000.02 	 0.0345393 	
 8000.01 	 0.0344555 	
 6999.99 	 0.0343502 	
 6000 	 0.0342298 	
 4999.99 	 0.0340038 	
 3999.99 	 0.0335943 	
 3000.28 	 0.032965 	
 1999.99 	 0.0318522 	
 999.989 	 0.0290241 	
 950.002 	 0.0287323 	
 899.99 	 0.0284507 	
 849.99 	 0.0281283 	
 799.998 	 0.0277796 	
 750 	 0.0273886 	
 699.996 	 0.0269251 	
 649.991 	 0.0264376 	
 600.002 	 0.0258876 	
 550 	 0.0252645 	
 499.998 	 0.0245375 	
 449.998 	 0.0236833 	
 399.995 	 0.0226826 	
 350.007 	 0.0214461 	
 299.997 	 0.0199564 	
 249.988 	 0.0181256 	
 199.993 	 0.0158225 	
 190.001 	 0.0151295 	
 179.999 	 0.0144662 	
 169.995 	 0.0138064 	
 159.993 	 0.0128866 	
 150.003 	 0.0122976 	
 139.997 	 0.0116586 	
 129.995 	 0.010988 	
 120.007 	 0.0103063 	
 109.996 	 0.00961353 	
 100.002 	 0.00892456 	
 89.9979 	 0.00824566 	
 79.9895 	 0.00757759 	
 69.995 	 0.00693246 	
 59.9995 	 0.00631745 	
 49.9942 	 0.00573056 	
 39.9983 	 0.00518171 	
 29.9967 	 0.00465813 	
 19.9992 	 0.00400677 	
 17.9915 	 0.00390333 	
 15.9988 	 0.00379882 	
 13.9975 	 0.00369431 	
 11.9918 	 0.00358865 	
 10.0003 	 0.00347829 	
 7.99253 	 0.0033586 	
 6.00315 	 0.00322162 	
 4.01042 	 0.00304296 	
 1.9938 	 0.00272074 	
 0.00106032 	 0.00152025 	
-1.99218 	-0.000325626 	
-3.99189 	-0.0016811 	
-6.00059 	-0.00225489 	
-8.00392 	-0.0026659 	
-9.99386 	-0.00288916 	
-12.0035 	-0.00303758 	
-14.0007 	-0.00315201 	
-15.9982 	-0.00324909 	
-17.9999 	-0.00333546 	
-20.0025 	-0.00341424 	
-29.9936 	-0.00375029 	
-39.999 	-0.00408503 	
-50.0012 	-0.00442717 	
-60.0014 	-0.0048023 	
-70.0079 	-0.00516254 	
-80.0068 	-0.00555174 	
-90.0015 	-0.00596924 	
-100.003 	-0.00641695 	
-110.005 	-0.00689874 	
-120.007 	-0.00741545 	
-130.01 	-0.00797012 	
-139.998 	-0.00856034 	
-149.995 	-0.0091833 	
-160.003 	-0.00983388 	
-169.999 	-0.0105066 	
-179.998 	-0.0111881 	
-190.01 	-0.011868 	
-200.003 	-0.0125442 	
-250.006 	-0.0156971 	
-300.003 	-0.0178771 	
-349.994 	-0.0197514 	
-399.999 	-0.0212616 	
-450.008 	-0.0225101 	
-500 	-0.0235184 	
-549.994 	-0.0243767 	
-599.994 	-0.0250754 	
-649.994 	-0.0257131 	
-699.996 	-0.0262765 	
-749.998 	-0.026752 	
-800.008 	-0.0271812 	
-850.011 	-0.0275616 	
-900.004 	-0.0279044 	
-950.001 	-0.0282315 	
-1000.01 	-0.0284783 	
-2000.01 	-0.0315235 	
-3000.01 	-0.032681 	
-4000.05 	-0.0333724 	
-5000 	-0.0337697 	
-6000.03 	-0.0339349 	
-7000 	-0.0340966 	
-8000.01 	-0.0342365 	
-9000 	-0.0343224 	
-10000 	-0.0344084 	
-11000 	-0.034406 	
-12000 	-0.034384 	
-13000 	-0.0344131 	
-14000 	-0.0344275 	
-15000 	-0.0343234 	
-16000 	-0.0343731 	
-17000 	-0.0343299 	
-18000 	-0.0342622 	
-19000 	-0.0342611 	
