Start Time:  04-08-2025 16:52:39          Time Completed:  04-08-2025 17:42:30      Elapsed Time:  00:49:50
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\F2.txt
Plot File:     C:\IDEASVSM\LS_QC\F2.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\F2.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.0218087 	
 18000 	 0.0218126 	
 17000 	 0.0218157 	
 16000 	 0.0218421 	
 15000 	 0.0218542 	
 14000 	 0.0218617 	
 13000 	 0.0218778 	
 12000 	 0.021887 	
 11000 	 0.0218913 	
 10000 	 0.0218784 	
 8999.99 	 0.0218527 	
 7999.98 	 0.0218011 	
 7000.01 	 0.0217347 	
 6000 	 0.021635 	
 5000.01 	 0.0215347 	
 4000 	 0.0213289 	
 3000.09 	 0.0209446 	
 1999.99 	 0.0202009 	
 999.989 	 0.0183354 	
 949.997 	 0.0181554 	
 899.997 	 0.017949 	
 849.993 	 0.0177164 	
 799.999 	 0.0174785 	
 749.991 	 0.0172199 	
 699.99 	 0.0169413 	
 649.994 	 0.0166216 	
 600.005 	 0.01626 	
 550.005 	 0.0158543 	
 499.997 	 0.0153894 	
 449.999 	 0.0148525 	
 399.996 	 0.0142161 	
 349.992 	 0.0134369 	
 299.997 	 0.0125382 	
 249.992 	 0.011467 	
 199.995 	 0.0101721 	
 189.992 	 0.00985541 	
 180.002 	 0.00953926 	
 169.996 	 0.00917786 	
 159.992 	 0.00887825 	
 149.995 	 0.00855076 	
 139.998 	 0.00820304 	
 130.001 	 0.00784035 	
 120.005 	 0.00745505 	
 109.999 	 0.00705685 	
 100.001 	 0.00663936 	
 89.9935 	 0.0062041 	
 79.9978 	 0.00573425 	
 70 	 0.00524687 	
 59.9911 	 0.00474239 	
 49.9996 	 0.00417068 	
 39.9983 	 0.00365503 	
 30.0006 	 0.00310941 	
 19.9977 	 0.00255941 	
 17.9991 	 0.00232654 	
 15.9967 	 0.00228112 	
 13.9978 	 0.00216164 	
 11.991 	 0.00204837 	
 9.99117 	 0.00193843 	
 8.00081 	 0.00183188 	
 5.99236 	 0.00172665 	
 3.9928 	 0.00162061 	
