Start Time:  04-08-2025 10:26:51          Time Completed:  04-08-2025 11:15:36      Elapsed Time:  00:48:44
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\C1.txt
Plot File:     C:\IDEASVSM\LS_QC\C1.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\C1.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.0377653 	
 18000 	 0.0374821 	
 17000 	 0.0373231 	
 16000 	 0.0372099 	
 15000 	 0.0371535 	
 14000 	 0.037154 	
 13000 	 0.0371538 	
 12000 	 0.0372197 	
 11000 	 0.0372816 	
 10000 	 0.0373116 	
 9000.02 	 0.0373478 	
 7999.97 	 0.0373234 	
 7000.06 	 0.0372832 	
 5999.96 	 0.037346 	
 5000.04 	 0.0372708 	
 4000.03 	 0.0369529 	
 3000.1 	 0.0363777 	
 1999.98 	 0.0351767 	
 999.994 	 0.0320767 	
 949.997 	 0.0317614 	
 899.998 	 0.0313725 	
 849.997 	 0.0309806 	
 799.994 	 0.0305454 	
 749.991 	 0.0300683 	
 699.99 	 0.0295383 	
 650.013 	 0.0289496 	
 599.993 	 0.0282957 	
 549.998 	 0.0275622 	
 499.992 	 0.0267333 	
 449.994 	 0.0257847 	
 400.006 	 0.0247191 	
 350.019 	 0.0234809 	
 300 	 0.0220692 	
 250 	 0.0204459 	
 200.007 	 0.0185847 	
 190.008 	 0.0181266 	
 180.001 	 0.0176713 	
 170.007 	 0.017238 	
 159.998 	 0.0167954 	
 149.997 	 0.016342 	
 140.006 	 0.0158804 	
 130.004 	 0.0153974 	
 120.002 	 0.0149013 	
 109.997 	 0.014399 	
 99.9981 	 0.0138857 	
 90.0025 	 0.0133602 	
 79.9893 	 0.0128253 	
 70.001 	 0.0122863 	
 59.9967 	 0.0117396 	
 50.0015 	 0.0111972 	
 39.996 	 0.0106502 	
 30.0028 	 0.0101015 	
 20.0061 	 0.00953902 	
 17.9976 	 0.00934645 	
 16.0025 	 0.00908262 	
 13.9901 	 0.00897085 	
 11.9947 	 0.00885617 	
 10.0013 	 0.00874025 	
 7.98775 	 0.00861747 	
 6.00642 	 0.00848088 	
 4.00344 	 0.00832374 	
 1.98805 	 0.00808683 	
-0.00766727 	 0.00726473 	
-2.00829 	 0.00558899 	
-4.00156 	 0.00360268 	
-5.9983 	 0.00305097 	
-8.00322 	 0.00176503 	
-9.99621 	 0.000939316 	
-11.9952 	-0.00113375 	
-13.9987 	-0.0018286 	
-16.0098 	-0.0024733 	
-18.0002 	-0.00309945 	
-19.9982 	-0.00374044 	
-30.0015 	-0.00561229 	
-40.0093 	-0.00615543 	
-50.0015 	-0.00675459 	
-60.008 	-0.00734069 	
-69.9983 	-0.0078333 	
-80.0084 	-0.00841459 	
-90.0023 	-0.00886244 	
-99.9974 	-0.00934901 	
-110.016 	-0.00981269 	
-120.001 	-0.0102 	
-130.009 	-0.0105784 	
-139.999 	-0.0109856 	
-150.004 	-0.0113709 	
-159.999 	-0.0117664 	
-169.996 	-0.0121737 	
-179.999 	-0.0125799 	
-190.002 	-0.0129923 	
-200.008 	-0.0134103 	
-250.005 	-0.0155145 	
-300.011 	-0.017643 	
-350.004 	-0.0196914 	
-400 	-0.0214825 	
-449.998 	-0.0230658 	
-500.011 	-0.024473 	
-550.004 	-0.0256652 	
-600.01 	-0.0267036 	
-650.003 	-0.0276087 	
-700.013 	-0.0284011 	
-750.003 	-0.0291016 	
-799.94 	-0.029694 	
-850.003 	-0.0302266 	
-900.001 	-0.0307075 	
-950.014 	-0.0311115 	
-999.994 	-0.0314742 	
-2000.01 	-0.0350572 	
-3000.01 	-0.0363243 	
-4000.02 	-0.0369893 	
-5000.02 	-0.0372373 	
