Start Time:  05-08-2025 12:26:11          Time Completed:  05-08-2025 13:18:28      Elapsed Time:  00:52:16
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\F4a.txt
Plot File:     C:\IDEASVSM\LS_QC\F4a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\F4a.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.0141444 	
 18000 	 0.0141936 	
 17000 	 0.0142259 	
 16000 	 0.0142447 	
 15000 	 0.0142614 	
 14000.2 	 0.0142698 	
 13000 	 0.0142745 	
 12000 	 0.0142786 	
 11000 	 0.0142755 	
 9999.99 	 0.0142684 	
 9000 	 0.0142485 	
 8000 	 0.01422 	
 7000.01 	 0.0141828 	
 5999.99 	 0.0141265 	
 5000 	 0.0140477 	
 4000 	 0.0138893 	
 2999.99 	 0.0136252 	
 2000 	 0.0131463 	
 999.997 	 0.0118695 	
 949.998 	 0.0117371 	
 900.011 	 0.0115927 	
 850.003 	 0.0114357 	
 799.992 	 0.0112618 	
 749.995 	 0.0110692 	
 699.995 	 0.0108422 	
 649.994 	 0.0105871 	
 599.996 	 0.0102912 	
 549.996 	 0.00994664 	
 500.001 	 0.00954199 	
 449.998 	 0.00906546 	
 400.009 	 0.00850875 	
 350.007 	 0.00785168 	
 299.995 	 0.00710776 	
 250.002 	 0.00625477 	
 200.007 	 0.00525538 	
 190.005 	 0.00505769 	
 180.001 	 0.00484958 	
 169.995 	 0.00463411 	
 159.998 	 0.00441386 	
 150 	 0.00417583 	
 139.992 	 0.00395677 	
 130.005 	 0.0037302 	
 119.988 	 0.00350352 	
 110.007 	 0.00327961 	
 100.002 	 0.00305953 	
 89.9951 	 0.00283894 	
 80.1425 	 0.00261305 	
 70.0059 	 0.00233744 	
 59.9993 	 0.00213402 	
 49.9902 	 0.00191098 	
 39.9973 	 0.00168009 	
 29.997 	 0.00144666 	
 19.9904 	 0.00121273 	
 17.9976 	 0.00115503 	
 15.9931 	 0.00110179 	
 13.9912 	 0.00104954 	
 11.9914 	 0.000996514 	
 10.002 	 0.00094066 	
 8.00382 	 0.000879771 	
 6.00474 	 0.000808444 	
 3.99805 	 0.000713933 	
 1.9991 	 0.000558839 	
-0.00970312 	 0.000102025 	
-2.00577 	-0.000501767 	
-4.0077 	-0.000670992 	
-6.00013 	-0.000764495 	
-8.00056 	-0.000830998 	
-10.0145 	-0.000884278 	
-11.9961 	-0.000932203 	
-14.0007 	-0.000976559 	
-15.997 	-0.00102038 	
-17.9968 	-0.00106031 	
-19.9994 	-0.00110016 	
-30.0107 	-0.00129049 	
-40.0042 	-0.00148531 	
-49.9977 	-0.00168894 	
-60.0046 	-0.00189983 	
-70.0016 	-0.00211694 	
-80.0004 	-0.00233776 	
-90.0036 	-0.00255794 	
-99.9992 	-0.0027737 	
-110.001 	-0.0029828 	
-119.996 	-0.00318986 	
-130.004 	-0.00340148 	
-139.997 	-0.00361958 	
-149.999 	-0.00384403 	
-160.038 	-0.00407121 	
-170.001 	-0.00429558 	
-179.996 	-0.00452046 	
-190.006 	-0.00475385 	
-199.996 	-0.004964 	
-250.001 	-0.0059843 	
-300.011 	-0.00689039 	
-350.003 	-0.00767875 	
-399.999 	-0.00835637 	
-450.005 	-0.00894262 	
-500.008 	-0.00944265 	
-550.002 	-0.00986459 	
-600.001 	-0.0102252 	
-650.008 	-0.0105325 	
-699.993 	-0.0107989 	
-750.001 	-0.0110282 	
-800.013 	-0.0112322 	
-850.004 	-0.0114097 	
-900.003 	-0.0115725 	
-950.004 	-0.0117148 	
-999.99 	-0.0118477 	
-2000 	-0.0131394 	
-3000.01 	-0.0136426 	
-4000.03 	-0.0139072 	
-5000.03 	-0.0140731 	
-6000.02 	-0.0141531 	
-7000.01 	-0.0142166 	
-8000 	-0.0142585 	
-9000 	-0.0142889 	
-9999.99 	-0.0143049 	
-11000 	-0.0143173 	
-12000 	-0.0143232 	
-13000 	-0.0143276 	
-14000 	-0.0143212 	
-15000 	-0.0143083 	
-16000 	-0.0142986 	
-17000 	-0.0142798 	
-18000 	-0.0142563 	
-19000 	-0.0142153 	
-18000 	-0.0142552 	
-17000 	-0.0142884 	
-16000 	-0.0143203 	
-15000 	-0.0143351 	
-14000 	-0.014344 	
-13000 	-0.0143476 	
-12000 	-0.0143458 	
-11000 	-0.0143375 	
-9999.99 	-0.0143275 	
-8999.97 	-0.0143083 	
-7999.99 	-0.0142791 	
-6999.97 	-0.0142386 	
-5999.99 	-0.0141841 	
-4999.98 	-0.0141068 	
-3999.97 	-0.013946 	
-3000 	-0.0136741 	
-2000 	-0.0131966 	
-999.991 	-0.0119145 	
-949.995 	-0.0117799 	
-900.001 	-0.0116308 	
-850.006 	-0.0114756 	
-799.98 	-0.0113002 	
-749.996 	-0.0111047 	
-699.992 	-0.0108804 	
-650 	-0.0106258 	
-599.992 	-0.0103258 	
-549.997 	-0.00998028 	
-499.993 	-0.0095732 	
-449.994 	-0.00909256 	
-400.004 	-0.00853013 	
-349.984 	-0.0078785 	
-300.006 	-0.00713305 	
-250.003 	-0.0062751 	
-199.999 	-0.00530201 	
-189.994 	-0.00508249 	
-179.998 	-0.00486571 	
-170.002 	-0.00464664 	
-160.008 	-0.00442525 	
-150.009 	-0.0041854 	
-140.002 	-0.00396749 	
-130.001 	-0.00374005 	
-119.99 	-0.00351285 	
-109.993 	-0.0032875 	
-100.005 	-0.00304203 	
-89.9968 	-0.00283515 	
-79.9965 	-0.00261374 	
-69.9927 	-0.00238493 	
-59.9976 	-0.00215169 	
-49.9903 	-0.00191494 	
-40.0042 	-0.00167953 	
-30.006 	-0.00144791 	
-20.0018 	-0.00121638 	
-17.9948 	-0.00115952 	
-16.0022 	-0.00110612 	
-14.0106 	-0.00105394 	
-11.9961 	-0.00100156 	
-10.0034 	-0.00094648 	
-8.00009 	-0.000885358 	
-6.00029 	-0.00081432 	
-3.99667 	-0.00071894 	
-2.00155 	-0.000558919 	
 0.00386343 	-0.0000621323 	
 2.00399 	 0.000500166 	
 3.9958 	 0.000663776 	
 6.00549 	 0.000752775 	
 8.00174 	 0.00081857 	
 9.99645 	 0.00087217 	
 12.0074 	 0.000919939 	
 13.9991 	 0.000966221 	
 16.0052 	 0.00100727 	
 17.9974 	 0.00104789 	
 20.0074 	 0.00108735 	
 30.0005 	 0.00127985 	
 40.0005 	 0.00147597 	
 50.0067 	 0.00168166 	
 60.0037 	 0.0018931 	
 70.0021 	 0.00211173 	
 80.0005 	 0.00235221 	
 89.9929 	 0.00257955 	
 100.002 	 0.00278695 	
 110.011 	 0.00298613 	
 119.995 	 0.00319217 	
 129.998 	 0.00340457 	
 139.999 	 0.00362365 	
 149.998 	 0.00384808 	
 160.006 	 0.00407366 	
 170.007 	 0.00430001 	
 180.003 	 0.00452339 	
 190.002 	 0.00475692 	
 200.002 	 0.00496739 	
 250 	 0.00598688 	
 300.011 	 0.00689313 	
 350 	 0.00768042 	
 400.005 	 0.00836803 	
 449.986 	 0.00895487 	
